Wall time,Step,Value
1638097041.5998666,0,41.1397819519043
1638097621.317798,1,41.079063415527344
1638098200.4649963,2,41.73414993286133
1638098782.1987345,3,42.2870979309082
1638099353.9286048,4,42.410545349121094
1638099984.1926084,5,42.28057098388672
1638100518.5542557,6,42.096832275390625
1638101104.6378508,7,42.27110290527344
1638101717.4357698,8,42.23805618286133
1638102253.5484028,9,42.275901794433594
1638102864.0609887,10,42.14943313598633
1638103409.934604,11,42.282676696777344
1638103999.8266206,12,42.05311584472656
1638104608.1970437,13,42.088401794433594
1638105143.8782263,14,42.23377227783203
1638105753.4069238,15,41.90787124633789
1638106300.955416,16,41.78005599975586
1638106885.297457,17,41.82212829589844
1638107497.8023126,18,41.80596923828125
1638108034.4890018,19,41.504425048828125
1638108636.5007787,20,41.682498931884766
1638109186.3600035,21,41.74557113647461
1638109781.543945,22,41.59189224243164
1638110344.487681,23,41.36329650878906
1638110912.7841768,24,41.582176208496094
1638111539.7411273,25,41.34751892089844
1638112074.5332675,26,41.55351638793945
1638112676.8183007,27,41.415428161621094
1638113277.1503882,28,41.34502410888672
1638113812.6993513,29,41.3216438293457
1638114427.2731392,30,41.50419998168945
1638114968.602023,31,41.483036041259766
1638115573.7598794,32,41.81174087524414
1638116127.910929,33,41.532745361328125
1638116726.508967,34,41.256309509277344
1638117328.1509743,35,41.1862907409668
1638117862.7802851,36,41.264060974121094
1638118467.732133,37,41.33697509765625
1638119058.4585953,38,41.23673629760742
1638119592.0358152,39,41.27727127075195
1638120213.2946713,40,41.3051872253418
1638120747.4966085,41,41.275657653808594
1638121376.9140728,42,41.01079177856445
1638121948.396687,43,41.55821990966797
1638122483.044607,44,40.93099594116211
1638123246.3674762,45,41.10017776489258
1638123767.4296024,46,40.92412567138672
1638124443.614605,47,41.07875061035156
1638124977.6493819,48,41.23207473754883
1638125496.6709113,49,41.351417541503906
1638126152.0668864,50,41.26832580566406
1638126692.845033,51,41.134063720703125
1638127221.782272,52,41.081329345703125
1638127871.251267,53,41.12324905395508
1638128416.23135,54,41.19353485107422
1638128946.1618648,55,41.119380950927734
1638129585.658241,56,41.2849235534668
1638130116.2118137,57,41.1717529296875
1638130778.036896,58,41.09540939331055
