Wall time,Step,Value
1638097041.5980935,0,0.2384028136730194
1638097621.3175035,1,0.11334336549043655
1638098200.4647985,2,0.0776919350028038
1638098782.1984189,3,0.0610603429377079
1638099353.9284117,4,0.05432191491127014
1638099984.1924186,5,0.05106274411082268
1638100518.553778,6,0.051032617688179016
1638101104.6376562,7,0.04593244567513466
1638101717.4355516,8,0.047483161091804504
1638102253.5481079,9,0.043001364916563034
1638102864.0607946,10,0.04421405866742134
1638103409.9342964,11,0.04012305662035942
1638103999.82637,12,0.04258262738585472
1638104608.196851,13,0.042287204414606094
1638105143.8780365,14,0.039257217198610306
1638105753.4066787,15,0.03990171104669571
1638106300.9550924,16,0.037597041577100754
1638106885.297265,17,0.03756391257047653
1638107497.8021233,18,0.03764759749174118
1638108034.4888046,19,0.03710963949561119
1638108636.500537,20,0.0363941565155983
1638109186.359705,21,0.03491516411304474
1638109781.543751,22,0.0352969616651535
1638110344.4873612,23,0.03437712788581848
1638110912.7839189,24,0.034652095288038254
1638111539.7408974,25,0.03512590751051903
1638112074.5330806,26,0.03294216841459274
1638112676.8181074,27,0.03285112604498863
1638113277.1501977,28,0.033525072038173676
1638113812.6990733,29,0.03432809188961983
1638114427.2729414,30,0.03265911713242531
1638114968.601655,31,0.032824575901031494
1638115573.7596042,32,0.030890095978975296
1638116127.9106379,33,0.03260830044746399
1638116726.50878,34,0.03230658918619156
1638117328.1507854,35,0.0334865003824234
1638117862.7800653,36,0.03214205056428909
1638118467.7318094,37,0.031140876933932304
1638119058.458366,38,0.032885223627090454
1638119592.0355103,39,0.03134560585021973
1638120213.2944124,40,0.03173961490392685
1638120747.4963017,41,0.03162562474608421
1638121376.9138763,42,0.03144722059369087
1638121948.3964875,43,0.029285939410328865
1638122483.0444145,44,0.03044910728931427
1638123246.3661995,45,0.030566632747650146
1638123767.4293945,46,0.02957572601735592
1638124443.6143713,47,0.03078334964811802
1638124977.6491225,48,0.028651094064116478
1638125496.6705656,49,0.031135592609643936
1638126152.0666504,50,0.030786408111453056
1638126692.844842,51,0.028931837528944016
1638127221.7820678,52,0.028961604461073875
1638127871.2509747,53,0.029900403693318367
1638128416.2310848,54,0.029770324006676674
1638128946.161661,55,0.031167898327112198
1638129585.657983,56,0.029007159173488617
1638130116.2115197,57,0.029091710224747658
1638130778.036668,58,0.028406189754605293
1638131313.4822073,59,0.029023822396993637
1638131843.7096584,60,0.02807888761162758
1638132489.2949173,61,0.028815237805247307
1638133038.3490636,62,0.029475189745426178
1638133565.7999103,63,0.02744172513484955
1638134191.6381364,64,0.029487628489732742
1638134723.7480187,65,0.028426727280020714
1638135358.3511019,66,0.029191775247454643
1638135919.7074237,67,0.027484705671668053
1638136447.3513043,68,0.0273270420730114
1638137077.8301804,69,0.029467947781085968
1638137611.0801818,70,0.029564129188656807
1638138236.3322198,71,0.028241461142897606
1638138803.6235857,72,0.028443315997719765
1638139333.1228175,73,0.026731040328741074
1638139956.2360718,74,0.02938099205493927
1638140489.5429482,75,0.02874159626662731
1638141106.2166297,76,0.029366955161094666
1638141647.5576594,77,0.02867339737713337
